27.692,28.263,28.831,29.395,29.952,30.5,31.037,31.56,32.068,32.558,33.028,33.477,33.903,34.303,34.677,35.023,35.34,35.625,35.879,36.099,36.286,36.438,36.555,36.637,36.682,36.691,36.664,36.6,36.501,36.367,36.197,35.993,35.756,35.486,35.185,34.854,34.494,34.106,33.693,33.255,32.796,32.315,31.816,31.3,30.77,30.228,29.675,29.114,28.548,27.978,27.407,26.837,26.27,25.709,25.156,24.614,24.084,23.568,23.069,22.589,22.129,21.691,21.278,20.89,20.53,20.199,19.898,19.628,19.391,19.187,19.017,18.883,18.784,18.72,18.693,18.702,18.748,18.829,18.946,19.098,19.285,19.505,19.759,20.045,20.361,20.707,21.081,21.481,21.907,22.356,22.826,23.316,23.824,24.347,24.884,25.432,25.989,26.553,27.121,27.692
25.052,25.623,26.191,26.755,27.312,27.86,28.397,28.92,29.428,29.918,30.388,30.837,31.262,31.663,32.037,32.383,32.699,32.985,33.238,33.459,33.646,33.798,33.915,33.996,34.042,34.051,34.023,33.96,33.861,33.726,33.557,33.353,33.116,32.846,32.545,32.214,31.853,31.466,31.053,30.615,30.155,29.675,29.176,28.66,28.13,27.587,27.035,26.474,25.907,25.337,24.766,24.196,23.63,23.069,22.516,21.974,21.443,20.928,20.429,19.948,19.488,19.051,18.637,18.25,17.89,17.559,17.258,16.988,16.751,16.547,16.377,16.243,16.143,16.08,16.053,16.062,16.107,16.188,16.305,16.458,16.644,16.865,17.119,17.404,17.721,18.066,18.44,18.841,19.267,19.716,20.186,20.676,21.184,21.707,22.243,22.791,23.348,23.912,24.481,25.052
23.092,23.663,24.231,24.795,25.352,25.9,26.437,26.96,27.468,27.958,28.428,28.877,29.303,29.703,30.077,30.423,30.74,31.025,31.279,31.499,31.686,31.838,31.955,32.037,32.082,32.091,32.064,32.001,31.901,31.767,31.597,31.393,31.156,30.886,30.585,30.254,29.894,29.506,29.093,28.656,28.196,27.715,27.216,26.701,26.17,25.628,25.075,24.514,23.948,23.378,22.807,22.237,21.67,21.109,20.557,20.014,19.484,18.968,18.469,17.989,17.529,17.091,16.678,16.29,15.93,15.599,15.298,15.028,14.791,14.587,14.418,14.283,14.184,14.12,14.093,14.102,14.148,14.229,14.346,14.498,14.685,14.905,15.159,15.445,15.761,16.107,16.481,16.881,17.307,17.756,18.226,18.716,19.224,19.747,20.284,20.832,21.389,21.953,22.521,23.092
22.469,23.04,23.608,24.172,24.729,25.277,25.814,26.337,26.845,27.335,27.805,28.254,28.68,29.08,29.454,29.8,30.116,30.402,30.656,30.876,31.063,31.215,31.332,31.414,31.459,31.468,31.441,31.377,31.278,31.144,30.974,30.77,30.533,30.263,29.962,29.631,29.271,28.883,28.47,28.032,27.573,27.092,26.593,26.077,25.547,25.005,24.452,23.891,23.324,22.755,22.183,21.613,21.047,20.486,19.933,19.391,18.861,18.345,17.846,17.365,16.906,16.468,16.055,15.667,15.307,14.976,14.675,14.405,14.168,13.964,13.794,13.66,13.561,13.497,13.47,13.479,13.524,13.606,13.723,13.875,14.062,14.282,14.536,14.821,15.138,15.484,15.858,16.258,16.684,17.133,17.603,18.093,18.601,19.124,19.661,20.209,20.766,21.33,21.898,22.469
21.354,21.925,22.493,23.057,23.614,24.162,24.699,25.222,25.73,26.22,26.69,27.139,27.564,27.965,28.339,28.685,29.001,29.287,29.54,29.761,29.948,30.1,30.217,30.298,30.344,30.353,30.325,30.262,30.163,30.028,29.859,29.655,29.418,29.148,28.847,28.516,28.156,27.768,27.355,26.917,26.457,25.977,25.478,24.962,24.432,23.889,23.337,22.776,22.209,21.639,21.068,20.498,19.932,19.371,18.818,18.276,17.745,17.23,16.731,16.25,15.79,15.353,14.94,14.552,14.192,13.861,13.56,13.29,13.053,12.849,12.679,12.545,12.445,12.382,12.355,12.364,12.409,12.49,12.607,12.76,12.946,13.167,13.421,13.706,14.023,14.368,14.742,15.143,15.569,16.018,16.488,16.978,17.486,18.009,18.545,19.093,19.651,20.214,20.783,21.354
19.965,20.536,21.104,21.668,22.225,22.773,23.31,23.833,24.341,24.831,25.301,25.75,26.176,26.576,26.95,27.296,27.613,27.898,28.152,28.372,28.559,28.711,28.828,28.91,28.955,28.964,28.937,28.874,28.774,28.64,28.47,28.266,28.029,27.759,27.458,27.127,26.767,26.379,25.966,25.529,25.069,24.588,24.089,23.574,23.043,22.501,21.948,21.387,20.821,20.251,19.68,19.11,18.543,17.982,17.43,16.887,16.357,15.841,15.342,14.862,14.402,13.964,13.551,13.163,12.803,12.472,12.171,11.901,11.664,11.46,11.291,11.156,11.057,10.993,10.966,10.975,11.021,11.102,11.219,11.371,11.558,11.778,12.032,12.318,12.634,12.98,13.354,13.754,14.18,14.629,15.099,15.589,16.097,16.62,17.157,17.705,18.262,18.826,19.394,19.965
19.174,19.744,20.313,20.877,21.434,21.982,22.519,23.042,23.549,24.039,24.51,24.959,25.384,25.785,26.159,26.505,26.821,27.107,27.36,27.581,27.768,27.92,28.037,28.118,28.163,28.173,28.145,28.082,27.983,27.848,27.679,27.475,27.238,26.968,26.667,26.336,25.975,25.588,25.175,24.737,24.277,23.797,23.298,22.782,22.252,21.709,21.156,20.596,20.029,19.459,18.888,18.318,17.752,17.191,16.638,16.095,15.565,15.05,14.551,14.07,13.61,13.173,12.759,12.372,12.012,11.681,11.379,11.11,10.872,10.669,10.499,10.364,10.265,10.202,10.175,10.184,10.229,10.31,10.427,10.58,10.766,10.987,11.241,11.526,11.842,12.188,12.562,12.963,13.389,13.838,14.308,14.798,15.306,15.829,16.365,16.913,17.47,18.034,18.603,19.174
17.745,18.316,18.884,19.448,20.005,20.553,21.09,21.613,22.121,22.611,23.081,23.53,23.956,24.356,24.73,25.076,25.393,25.678,25.932,26.152,26.339,26.491,26.608,26.69,26.735,26.744,26.717,26.654,26.554,26.42,26.25,26.046,25.809,25.539,25.238,24.907,24.547,24.159,23.746,23.309,22.849,22.368,21.869,21.354,20.823,20.281,19.728,19.167,18.601,18.031,17.46,16.89,16.323,15.762,15.21,14.667,14.137,13.621,13.122,12.642,12.182,11.744,11.331,10.943,10.583,10.252,9.9509,9.6812,9.444,9.2401,9.0706,8.9359,8.8368,8.7735,8.7463,8.7553,8.8006,8.8819,8.9988,9.151,9.3378,9.5585,9.8121,10.098,10.414,10.76,11.134,11.534,11.96,12.409,12.879,13.369,13.877,14.4,14.937,15.485,16.042,16.606,17.174,17.745
16.684,17.255,17.823,18.387,18.944,19.492,20.029,20.552,21.06,21.55,22.02,22.469,22.895,23.295,23.669,24.015,24.332,24.617,24.871,25.091,25.278,25.43,25.547,25.629,25.674,25.683,25.656,25.593,25.493,25.359,25.189,24.985,24.748,24.478,24.177,23.846,23.486,23.098,22.685,22.248,21.788,21.307,20.808,20.292,19.762,19.22,18.667,18.106,17.54,16.97,16.399,15.829,15.262,14.701,14.149,13.606,13.076,12.56,12.061,11.581,11.121,10.683,10.27,9.8824,9.5223,9.191,8.8899,8.6202,8.3829,8.1791,8.0095,7.8749,7.7757,7.7124,7.6852,7.6943,7.7396,7.8208,7.9378,8.09,8.2768,8.4974,8.751,9.0366,9.3529,9.6988,10.073,10.473,10.899,11.348,11.818,12.308,12.816,13.339,13.876,14.424,14.981,15.545,16.113,16.684
16.059,16.63,17.199,17.762,18.32,18.868,19.404,19.927,20.435,20.925,21.395,21.844,22.27,22.671,23.045,23.39,23.707,23.992,24.246,24.467,24.653,24.806,24.923,25.004,25.049,25.058,25.031,24.968,24.868,24.734,24.564,24.36,24.123,23.853,23.552,23.221,22.861,22.473,22.06,21.623,21.163,20.682,20.183,19.668,19.137,18.595,18.042,17.481,16.915,16.345,15.774,15.204,14.637,14.076,13.524,12.981,12.451,11.935,11.436,10.956,10.496,10.058,9.645,9.2575,8.8974,8.5661,8.265,7.9953,7.758,7.5542,7.3847,7.25,7.1508,7.0875,7.0604,7.0694,7.1147,7.196,7.3129,7.4651,7.6519,7.8725,8.1262,8.4117,8.7281,9.0739,9.4479,9.8485,10.274,10.723,11.193,11.683,12.191,12.714,13.251,13.799,14.356,14.92,15.488,16.059
